Question,Label,hindi_question,manually_translated_hindi,english_transliterated,disease,treatment plan,drug
can scabies raise red blood cell count or lower oxygen in blood,Other,क्या खुजली लाल रक्त कोशिका की गिनती बढ़ा सकती है या रक्त में ऑक्सीजन कम कर सकती है,क्या खुजली लाल रक्त कोशिका की संख्या बढ़ा सकती है या रक्त में ऑक्सीजन कम कर सकती है,kya khujali lala rakta koshika ki samkhya badhaa sakati hai ya rakta mem oksijana kama kara sakati hai,,,
can stomach acid or gas come out of the belly button,Other,पेट के बटन से बाहर आ सकता है पेट का एसिड या गैस,क्या नाभि से पेट का एसिड या गैस निकल सकता है,kya nabhi se peta ka acid ya gas nikala sakata hai,,,
what is metchicillin resistant staphylococcal aureus,Disease,Metchicillin प्रतिरोधी staphylococcal aureus क्या है,मेथिसिलिन प्रतिरोधी स्टेफिलोकोकस ऑरियस क्या है?,metchicillin resistant staphylococcal aureus kya hai?,मेथिसिलिन प्रतिरोधी स्टेफिलोकोकस ऑरियस,,
can using tampons spread herpes inside uterus,Other,गर्भाशय के अंदर फैले दाद टैम्पोन का उपयोग कर सकते हैं,क्या टैम्पोन के इस्तेमाल से गर्भाशय के अंदर दाद फैल सकता है?,kya tampon ke istemala se garbhashaya ke amdara dada phaila sakata hai?,,,
what problems could occur from blood pressure cup to tight?,Other,ब्लड प्रेशर कप से लेकर टाइट तक क्या समस्याएं हो सकती हैं?,ब्लड प्रेशर कप टाइट होने तक क्या समस्या हो सकती है?,blood pressure cup tight hone taka kya samasya ho sakati hai?,,,
frequent medication for urinary tract infections leads to cancer?,Disease,मूत्र पथ के संक्रमण के लिए लगातार दवा कैंसर की ओर जाता है?,यूरिनरी ट्रैक्ट इन्फेक्शन के लिए बार-बार दवा लेने से कैंसर होता है?, urinary tract infections ke lie bara-bara dava lene se cancer hota hai?,"यूरिनरी ट्रैक्ट इन्फेक्शन, कैंसर ",,
will a x-ray show fluid on the knee,Other,क्या एक एक्स-रे घुटने पर तरल पदार्थ दिखाएगा,क्या एक्स-रे घुटने पर तरल पदार्थ दिखाएगा,kya x-ray ghutane para tarala padartha dikhaega,,,
fluttering sensation in ears,Other,कानों में फड़कने वाली अनुभूति,कान में फड़फड़ाहट सनसनी,kana mem phadonphadaahata sanasani,,,
how do i know that my jock itch is healing besides the reduced itchiness?,Disease,मुझे कैसे पता है कि मेरे जॉक खुजली कम खुजली के अलावा चिकित्सा कर रहा है?,कम खुजली के अलावा मुझे कैसे पता चलेगा कि मेरी जॉक खुजली ठीक हो रही है?,kama khujali ke alava mujhe kaise pata chalega ki meri jock khujali thika ho rahi hai?,जॉक खुजली,,
can dry eye be mistaken for glucoma,Disease,सूखी आंख glucoma के लिए गलत किया जा सकता है,क्या सूखी आंख को ग्लूकोमा समझ सकती है?,kya sukhi amkha ko glukoma samajha sakati hai?,ग्लूकोमा,,
is rosiola a type of molluscum?,Disease,Rosiola मोलस्कम का एक प्रकार है?,क्या रसियोला एक प्रकार का मोलस्कम है?,kya rasiola eka prakara ka molluscum hai?,रसियोला,,
is bilirubin cancer. please i want to be informed if bilirubin is cancer,Disease,बिलीरुबिन कैंसर है। कृपया मैं सूचित किया जाना चाहता हूँ अगर बिलीरुबिन कैंसर है,क्या बिलीरुबिन कैंसर है। कृपया मुझे सूचित किया जाना चाहिए कि क्या बिलीरुबिन कैंसर है,kya bilirubin cancer hai kripaya mujhe suchita kiya jana chahie ki kya bilirubin cancer hai,"बिलीरुबिन, कैंसर",,
does symptoms of kidney stones mimic gential herpes in a man?,Disease,क्या गुर्दे की पथरी के लक्षण एक आदमी में gential दाद की नकल करते हैं?,क्या गुर्दे की पथरी के लक्षण एक आदमी में जननांग दाद की नकल करते हैं?,kya gurde ki pathari ke lakshana eka adami mem jananamga dada ki nakala karate haim?,"गुर्दे की पथरी, जननांग दाद",,
tomato-based products cause vagina odor?,Other,टमाटर आधारित उत्पादों योनि गंध का कारण बनता है?,क्या टमाटर उत्पादों से योनि से दुर्गंध आती है?,kya tamatara utpadom se yoni se durgamdha ati hai?,,,
does the caffeine in coffee cause facial wrinkles?,Other,क्या कॉफी में कैफीन चेहरे की झुर्रियों का कारण बनता है?,क्या कॉफी में मौजूद कैफीन से चेहरे पर झुर्रियां पड़ जाती हैं?,kya coffee mem maujuda caffeine se chehare para jhurriyam padon jati haim?,,,
is rosacea contagious?,Disease,क्या रोसैसिया संक्रामक है?,रोसैसिया संक्रामक है?,rosacea samkramaka hai?,रोसैसिया,,
can cpap machine cause pleurisy,Treatment,क्या सीपीएपी मशीन फुफ्फुसता का कारण बन सकती है,क्या सीपीएपी मशीन फुफ्फुस का कारण बन सकती है,kya cpap machine phuphphusa ka karana bana sakati hai,फुफ्फुस,सीपीएपी मशीन,
can a torn ligament contribute to gout,Disease,एक फटा हुआ स्नायुबंधन गाउट में योगदान कर सकते हैं,क्या फटा हुआ लिगामेंट गाउट में योगदान कर सकता है,kya phata hua ligament gauta mem yogadana kara sakata hai,"फटा हुआ लिगामेंट, गाउट",,
why can i see my bladder or uterus coming out of my vagina,Other,मैं अपने मूत्राशय या गर्भाशय को अपनी योनि से बाहर क्यों देख सकता हूं,मैं अपने मूत्राशय या गर्भाशय को अपनी योनि से बाहर निकलते हुए क्यों देख सकता हूँ?,maim apane mutrashaya ya garbhashaya ko apani yoni se bahara nikalate hue kyom dekha sakata hun?,,,
is it safe to cook with cast iron pans,Other,क्या कच्चा लोहा पैन के साथ खाना पकाना सुरक्षित है?,क्या कच्चे लोहे के पैन से खाना बनाना सुरक्षित है,kya kachche lohe ke paina se khana banana surakshita hai,,,
can the use of probiotics cause oral thrush?,Drug,प्रोबायोटिक्स का उपयोग मौखिक थ्रश का कारण बन सकता है?,क्या प्रोबायोटिक्स के उपयोग से मुंह में छाले हो सकते हैं?,kya probiotics ke upayoga se mumha mem chale ho sakate haim?,,,प्रोबायोटिक्स
can a girl get cramps before she even begins having periods?,Other,क्या एक लड़की को ऐंठन हो सकती है इससे पहले कि वह पीरियड्स भी शुरू कर दे?,क्या किसी लड़की को पीरियड्स शुरू होने से पहले ही ऐंठन हो सकती है?,kya kisi ladki ko periods shuru hone se pahale hi aimthana ho sakati hai?,,,
does swallowing phlegm prolong bronchitis?,Disease,क्या कफ निगलना ब्रोंकाइटिस को लम्बा खींचता है?,क्या कफ निगलने से ब्रोंकाइटिस लंबा हो जाता है?,kya kapha nigalane se bronchitis lamba ho jata hai?,ब्रोंकाइटिस,,
birth control shot,Other,जन्म नियंत्रण शॉट,जन्म नियंत्रण शॉट,janma niyamtrana shota,,,
what is trench foot,Disease,ट्रेंच फुट क्या है,ट्रेंच फुट क्या है,trench foot kya hai,ट्रेंच फुट,,
is it normal for a 25yr old to suck his thumb?,Other,क्या यह एक 25yr पुराने के लिए अपने अंगूठे को चूसने के लिए सामान्य है?,क्या 25 साल के व्यक्ति का अंगूठा चूसना सामान्य है?,kya 25 sala ke vyakti ka amgutha chusana samanya hai?,,,
can i drink beer with a major tongue laceration i bit through it.,Other,मैं एक प्रमुख जीभ laceration मैं इसके माध्यम से बिट के साथ बियर पी सकते हैं.,क्या मैं बीयर पी सकता हूं यदि जीभ का बड़ा घाव हो गया है।,kya maim beer pi sakata hum yadi jibha ka badaa ghava ho gaya hai,,,
can a pap smear indicate uterine fibroids,Disease,क्या एक पैप स्मीयर गर्भाशय फाइब्रॉएड का संकेत दे सकता है,क्या पैप स्मीयर गर्भाशय फाइब्रॉएड का संकेत दे सकता है,kya pap smear garbhashaya fibroids ka samketa de sakata hai,गर्भाशय फाइब्रॉएड,,
6yr old has constant snuffle like runny nose but nasal passage is dry,Other,"6yr पुराने बहती नाक की तरह लगातार नास है, लेकिन नाक मार्ग शुष्क है",6 साल के बच्चे की नाक बहने जैसी लगातार सूंघती रहती है लेकिन नाक का रास्ता सूखा रहता है,6 sala ke bachche ki naka bahane jaisi lagatara sumghati rahati hai lekina naka ka rasta sukha rahata hai,,,
can your throat hurt from an std,Disease,क्या आपके गले को एक std से चोट लग सकती है,क्या एसटीडी से क्या आपका गला खराब हो सकता है,kya std se kya apaka gala kharaba ho sakata hai,एसटीडी,,
is chicken box related to herpes?,Disease,चिकन बॉक्स दाद से संबंधित है?,क्या चिकनपॉक्स दाद से संबंधित है?,kya chickenpox dada se sambamdhita hai?,"चिकनपॉक्स, दाद ",,
is microwave popcorn safe to eat while takiing cipro,Drug,"माइक्रोवेव पॉपकॉर्न खाने के लिए सुरक्षित है, जबकि cipro takiing",क्या सिप्रो लेते समय माइक्रोवेव पॉपकॉर्न खाना सुरक्षित है,kya cipro lete samaya microwave popcorn khana surakshita hai,,,सिप्रो
can ear plugs cause ear infections?,Other,कान प्लग कान के संक्रमण का कारण बन सकते हैं?,क्या ईयर प्लग से कान में संक्रमण हो सकता है?,kya ear plugs se kana mem samkramana ho sakata hai?,,,
can zantac cause a false positive drug test,Drug,zantac एक झूठी सकारात्मक दवा परीक्षण का कारण बन सकता है,क्या ज़ैंटैक एक झूठी सकारात्मक दवा परीक्षण का कारण बन सकता है,kya zantac eka jhuthi sakaratmaka dava parikshana ka karana bana sakata hai,,,ज़ैंटैक
can having trichomoniasis cause boils?,Disease,ट्राइकोमोनिएसिस होने से फोड़े हो सकते हैं?,क्या ट्राइकोमोनिएसिस होने से फोड़े हो सकते हैं?,kya trichomoniasis hone se phodae ho sakate haim?,ट्राइकोमोनिएसिस,,
does lung cancer mestasis to the brain?,Disease,फेफड़ों का कैंसर मस्तिष्क के लिए mestasis करता है?,फेफड़ों का कैंसर मस्तिष्क को मेटास्टेसिस करता है?,phephadaom ka cancer mastishka ko metasis karata hai?,मेटास्टेसिस,,
is bell's palsy contagious?,Disease,घंटी की पक्षाघात संक्रामक है?,बेल्स पाल्सी संक्रामक है?,bell's palsy samkramaka hai?,बेल्स पाल्सी,,
could stress cause polycythemia vera?,Disease,क्या तनाव पॉलीसिथेमिया वेरा का कारण बन सकता है?,क्या तनाव पॉलीसिथेमिया वेरा का कारण बन सकता है?,kya tanava polycythemia vera ka karana bana sakata hai?,पॉलीसिथेमिया वेरा,,
can taking antibiotics for a long period of time cause an elevated a1c result?,Drug,समय की एक लंबी अवधि के लिए एंटीबायोटिक्स लेने के लिए एक ऊंचा a1c परिणाम का कारण बन सकता है?,क्या लंबे समय तक एंटीबायोटिक्स लेने से ए1सी का परिणाम बढ़ सकता है?,kya lambe samaya taka antibiotics lene se a1c ka parinama badhon sakata hai?,,,एंटीबायोटिक्स
is yoga good for fibromyalgia and degenerative disc disease,Disease,Fibromyalgia और अपक्षयी डिस्क रोग के लिए योग अच्छा है,क्या योग फाइब्रोमायल्गिया और अपक्षयी डिस्क रोग के लिए अच्छा है,kya yoga firbomyalgia aura apakshayi diska roga ke lie achcha hai,"फाइब्रोमायल्गिया, अपक्षयी डिस्क रोग",,
does sauerkraut cause gas?,Other,क्या sauerkraut गैस का कारण बनता है?,क्या सौकरकूट गैस का कारण बनता है?,kya sauerkraut gas ka karana banata hai?,,,
for hand and mouth disease can the sores be on tongue?,Other,हाथ और मुंह की बीमारी के लिए घावों जीभ पर हो सकता है?,हाथ और मुंह के रोग के लिए क्या जीभ पर घाव हो सकते हैं?,hatha aura mumha ke roga ke lie kya jibha para ghava ho sakate haim?,,,
can to much fiber cause constipation?,Disease,बहुत फाइबर के लिए कब्ज का कारण बन सकता है?,क्या ज्यादा फाइबर से कब्ज हो सकता है?,kya jyada fiber se kabja ho sakata hai?,कब्ज,,
are bananas bad for the heart?,Other,क्या केले दिल के लिए बुरे हैं?,क्या केले दिल के लिए खराब हैं?,kya kele dila ke lie kharaba haim?,,,
is it possible to have a yeast infection inside your breast?,Disease,क्या आपके स्तन के अंदर खमीर संक्रमण होना संभव है?,क्या आपके स्तन के अंदर खमीर संक्रमण होना संभव है?,kya apake stana ke amdara khamira samkramana hona sambhava hai?,खमीर संक्रमण,,
can you fly sith mono,Other,आप sith मोनो उड़ सकते हैं,क्या तुम मोनो के साथ उड़ सकते हो,kya tuma mono ke satha udon sakate ho,,,
can i swim in a pool with hemorrhoids?,Disease,मैं बवासीर के साथ एक पूल में तैर सकते हैं?,क्या मैं बवासीर में पूल में तैर सकता हूँ?,kya maim bavasira mem pool mem taira sakata hun?,बवासीर,,
is it safe to breastfeed after being stung by a bee on the neck?,Other,क्या गर्दन पर मधुमक्खी द्वारा डंक मारने के बाद स्तनपान कराना सुरक्षित है?,क्या मधुमक्खी द्वारा गर्दन पर काटे जाने के बाद स्तनपान कराना सुरक्षित है?,kya madhumakkhi dvara gardana para kate jane ke bada stanapana karana surakshita hai?,,,
does it hurt when ear tubes fall out,Other,क्या यह दर्द होता है जब कान की ट्यूब बाहर गिर जाती है,क्या कान की नलियों के गिरने पर दर्द होता है,kya kana ki naliyom ke girane para darda hota hai,,,
can an inner ear problem cause severe car sickness?,Other,क्या एक आंतरिक कान की समस्या गंभीर कार बीमारी का कारण बन सकती है?,क्या आंतरिक कान की समस्या कार में बेचैनी का कारण बन सकती है?,kya amtarika kana ki samasya kara mem bechaini ka karana bana sakati hai?,,,
are vaginal yeast infections contagious?,Disease,योनि खमीर संक्रमण संक्रामक हैं?,योनि खमीर संक्रमण संक्रामक हैं?,yoni khamira samkramana samkramaka haim?,खमीर संक्रमण,,
is erythema multiforme an autoimmune disorder?,Disease,एरिथेमा multiforme एक autoimmune विकार है?,क्या एरिथेमा मल्टीफॉर्म एक ऑटोइम्यून डिसऑर्डर है?,kya erythema multiforme eka autoimmune disorder hai?,एरिथेमा मल्टीफॉर्म,,
can vitamin d cause yeast infections?,Disease,क्या विटामिन डी खमीर संक्रमण का कारण बन सकता है?,क्या विटामिन डी खमीर संक्रमण का कारण बन सकता है?,kya vitamin d khamira samkramana ka karana bana sakata hai?,खमीर संक्रमण,,
can hand foot & mouth disease cause diarrhea?,Other,क्या हाथ पैर और मुंह की बीमारी दस्त का कारण बन सकती है?,क्या हाथ पैर और मुंह की बीमारी दस्त का कारण बन सकती है?,kya hatha paira aura mumha ki bimari dasta ka karana bana sakati hai?,,,
why is my prostste fluid brown,Other,क्यों मेरे prostste तरल भूरे रंग का है,मेरा प्रोस्टेट द्रव भूरा क्यों है,mera prostate drava bhura kyom hai,,,
can a nursing mother drink a beer?,Other,क्या एक नर्सिंग माँ एक बीयर पी सकती है?,क्या एक नर्सिंग मां बीयर पी सकती है?,kya eka nursing ma beer pi sakati hai?,,,
can i drink milk or orange juice with sinusitis?,Disease,क्या मैं साइनसाइटिस के साथ दूध या संतरे का रस पी सकता हूं?,क्या मैं साइनसाइटिस के साथ दूध या संतरे का रस पी सकता हूँ?,kya maim sinusitis ke satha dudha ya samtare ka rasa pi sakata hun?,साइनसाइटिस,,
do ceiling fans cause bell's palsy?,Disease,छत प्रशंसकों घंटी पक्षाघात का कारण बनता है?,क्या छत के पंखे बेल्स पाल्सी का कारण बनते हैं?,kya chata ke pamkhe bells palsy ka karana banate haim?,बेल्स पाल्सी,,
can you get pink eye from using someone else's computer keyboard or phone?,Disease,आप किसी और के कंप्यूटर कीबोर्ड या फोन का उपयोग करने से गुलाबी आंख मिल सकता है?,क्या आप किसी और के कंप्यूटर कीबोर्ड या फोन का उपयोग करने से गुलाबी आंख प्राप्त कर सकते हैं?,kya apa kisi aura ke computer ke keyboard ya phona ka upayoga karane se gulabi amkha prapta kara sakate haim?,गुलाबी आंख,,
does weight loss help decrease heal spur pain?,Other,क्या वजन घटाने से दर्द को कम करने में मदद मिलती है?,क्या वजन घटाने से एड़ी के दर्द को कम करने में मदद मिलती है?,kya vajana ghatane se edai ke darda ko kama karane mem madada milati hai?,,,
can eczema be a direct result from contact dermatitis caused by machine coolants,Disease,एक्जिमा मशीन coolants के कारण संपर्क जिल्द की सूजन से एक प्रत्यक्ष परिणाम हो सकता है,क्या एक्जिमा मशीन कूलेंट के कारण होने वाले कॉन्टैक्ट डर्मेटाइटिस का सीधा परिणाम हो सकता है?,kya eczema machine coolant ke karana hone vale contact dermatitis ka sidha parinama ho sakata hai?,कॉन्टैक्ट डर्मेटाइटिस,,
can sharing a hair brush or comb transfer eczema from one person to another?,Disease,एक बाल ब्रश या कंघी हस्तांतरण एक्जिमा एक व्यक्ति से दूसरे व्यक्ति को साझा कर सकते हैं?,क्या हेयर ब्रश या कंघी शेयर करने से एक्जिमा एक व्यक्ति से दूसरे व्यक्ति में स्थानांतरित हो सकता है?,kya hairbrush ya kamghi sheyara karane se ekjima eka vyakti se dusare vyakti mem sthanamtarita ho sakata hai?,एक्जिमा,,
is spinal meningitis contagious,Disease,रीढ़ की हड्डी के मेनिन्जाइटिस संक्रामक है,स्पाइनल मैनिंजाइटिस संक्रामक है?,spinal meningitis samkramaka hai?,स्पाइनल मैनिंजाइटिस,,
can chiropractic manipulation of the neck cause vertigo?,Other,क्या गर्दन के कायरोप्रैक्टिक हेरफेर से वर्टिगो हो सकता है?,क्या गर्दन के कायरोप्रैक्टिक हेरफेर से चक्कर आ सकते हैं?,kya gardana ke kayaropraiktika heraphera se chakkara a sakate haim?,,,
i had my uterus removed can i still get cervical cancer,Disease,मैं अपने गर्भाशय को हटा दिया था मैं अभी भी गर्भाशय ग्रीवा के कैंसर हो सकता है,मैंने अपना गर्भाशय निकाल दिया था क्या मुझे अब भी सर्वाइकल कैंसर हो सकता है?,maimne apana garbhashaya nikala diya tha kya mujhe aba bhi cervical cancer ho sakata hai?,सर्वाइकल कैंसर,,
is tric transmitted thu oral sex,Disease,ट्रिक संचरित thu ओरल सेक्स है,मौखिक सेक्स के माध्यम से ट्रिच प्रेषित होता है?,maukhika sex ke madhyama se trich preshita hota hai?,ट्रिच,,
can wine trigger eye floaters,Disease,कर सकते हैं शराब ट्रिगर आंख फ्लोटर्स,क्या शराब आंखों के फ्लोटर्स को ट्रिगर कर सकती है,kya sharaba amkhom ke floaters ko trigger kara sakati hai,आंखों के फ्लोटर्स,,
can too much buttermilk cause thrush?,Disease,बहुत अधिक छाछ थ्रश का कारण बन सकता है?,क्या बहुत अधिक छाछ थ्रश का कारण बन सकती है?,kya bahuta adhika chacha thrasha ka karana bana sakati hai?,थ्रश,,
can insulin cause uti?,Disease,इंसुलिन यूटीआई का कारण बन सकता है?,क्या इंसुलिन यूटीआई का कारण बन सकता है?,kya insulin uti ka karana bana sakata hai?,यूटीआई,,इंसुलिन
is cirrhosis a form of liver cancer,Disease,सिरोसिस यकृत कैंसर का एक रूप है,क्या सिरोसिस लीवर कैंसर का एक रूप है?,kya sirosis liver cancer ka eka rupa hai?,"सिरोसिस, लीवर कैंसर",,
how do you get lingual tonsils?,Disease,आप भाषाई टॉन्सिल कैसे प्राप्त करते हैं?,भाषिक टॉन्सिल कैसे होता हैं?,bhashika tonsil kaise hota haim?,भाषिक टॉन्सिल,,
can multiple sclerosis be transmitted through sex,Disease,मल्टीपल स्केलेरोसिस सेक्स के माध्यम से प्रेषित किया जा सकता है,क्या मल्टीपल स्केलेरोसिस को सेक्स के माध्यम से प्रेषित किया जा सकता है?,kya multiple skelerosis ko seksa ke madhyama se preshita kiya ja sakata hai?,मल्टीपल स्केलेरोसिस,,
could my saliva cause my wife to get a yeast infection in her vagina?,Disease,क्या मेरी लार मेरी पत्नी को अपनी योनि में खमीर संक्रमण प्राप्त करने का कारण बन सकती है?,क्या मेरी लार से मेरी पत्नी की योनि में यीस्ट इन्फेक्शन हो सकता है?,kya meri lara se meri patni ki yoni mem yista infection ho sakata hai?,यीस्ट इन्फेक्शन,,
can vulvar cancer lead to breast cancer?,Disease,क्या वल्वर कैंसर स्तन कैंसर का कारण बन सकता है?,क्या वुल्वर कैंसर से स्तन कैंसर हो सकता है?,kya vulvar cancer se stana cancer ho sakata hai?,"वुल्वर कैंसर, स्तन कैंसर ",,
is steph infacon contages,Disease,steph infacon contages है,क्या स्टैफ संक्रमण संक्रामक है?,kya steph samkramana samkramaka hai?,स्टैफ संक्रमण,,
can carbonated beverages hinder weight loss?,Other,कार्बोनेटेड पेय वजन घटाने में बाधा डाल सकते हैं?,क्या कार्बोनेटेड पेय वजन घटाने में बाधा डाल सकते हैं?,kya carbonated peya vajana ghatane mem badha dala sakate haim?,,,
is sebhorric dermatitis contagious?,Disease,क्या सेबोरिक डर्मेटाइटिस संक्रामक है?,सेबोरहाइक जिल्द की सूजन संक्रामक हैं?,sebhorric jilda ki sujana samkramaka haim?,सेबोरहाइक जिल्द,,
is folliculitis a form of herpes type 1,Disease,folliculitis दाद प्रकार 1 का एक रूप है,क्या फॉलिक्युलिटिस हरपीज प्रकार का एक रूप है?,kya foliculitis herpes prakara ka eka rupa hai?,"फॉलिक्युलिटिस, हरपीज",,
can the blood be to thick to start a period?,Other,क्या रक्त एक अवधि शुरू करने के लिए मोटा हो सकता है?,क्या मासिक धर्म शुरू करने के लिए खून गाढ़ा हो सकता है?,kya masika dharma shuru karane ke lie khuna gadhaa ho sakata hai?,,,
what level of the spine does the sciatic nerve originate?,Other,रीढ़ की हड्डी के किस स्तर से कटिस्नायुशूल तंत्रिका की उत्पत्ति होती है?,कटिस्नायुशूल तंत्रिका रीढ़ के किस स्तर पर उत्पन्न होती है?,katisnayushula tamtrika ridhon ke kisa stara para utpanna hoti hai?,,,
is melanoma a precurser to pancreatic cancer,Disease,मेलेनोमा अग्नाशय के कैंसर के लिए एक precurser है,मेलेनोमा अग्नाशय के कैंसर का अग्रदूत है,melenoma agnashaya ke cancer ka agraduta hai,"मेलेनोमा, अग्नाशय के कैंसर",,
can acetaminophen cause rectal bleedin. can acetaminophen cause rectal bleedin,Other,एसिटामिनोफेन रेक्टल ब्लीडिन का कारण बन सकता है। एसिटामिनोफेन मलाशय रक्तस्राव का कारण बन सकता है,एसिटामिनोफेन मलाशय से रक्तस्राव का कारण बन सकता है। क्या एसिटामिनोफेन मलाशय से रक्तस्राव का कारण बन सकता है,acetaminophen malashaya se raktasrava ka karana bana sakata hai kya acetaminophenmalashaya se raktasrava ka karana bana sakata hai,,,
are cold sores a symptom of thyroid disease?,Disease,क्या ठंड घावथायराइड रोग का एक लक्षण हैं?,क्या कोल्ड सोर थायराइड रोग का लक्षण है?,kya cold sore thyroid roga ka lakshana hai?,थायराइड रोग,,
symptoms of narrowing of disc in c4 & c5 area,Other,C4 और c5 क्षेत्र में डिस्क के संकुचन के लक्षण,c4 और c5 क्षेत्र में डिस्क के सिकुड़ने के लक्षण,c4 aura c5 kshetra mem disk ke sikudonne ke lakshana,,,
can you get rotavirus if you have had the immunization,Disease,क्या आप रोटावायरस प्राप्त कर सकते हैं यदि आपके पास टीकाकरण है,क्या आप रोटावायरस प्राप्त कर सकते हैं यदि आपने टीकाकरण किया है,kya apa rotavirus prapta kara sakate haim yadi apane tikakarana kiya hai,रोटावायरस,,
can c6 herniation cause incontinence,Disease,c6 हर्नियेशन असंयम का कारण बन सकता है,क्या c6 हर्नियेशन असंयम का कारण बन सकता है,kya c6 herniation asamyama ka karana bana sakata hai,c6 हर्नियेशन,,
can yeast infection cause back pain in lower right?,Disease,खमीर संक्रमण निचले दाईं ओर पीठ दर्द का कारण बन सकता है?,क्या यीस्ट इन्फेक्शन के कारण कमर के निचले हिस्से में दर्द हो सकता है?,kya yista infection ke karana kamara ke nichale hisse mem darda ho sakata hai?,यीस्ट इन्फेक्शन,,
i am 19 and i haven't seen a regular period should i be worried?,Other,मैं 19 हूँ और मैं एक नियमित अवधि मैं चिंतित होना चाहिए नहीं देखा है?,"मेरी उम्र १९ साल है और मैंने नियमित मासिक धर्म नहीं देखा है, क्या मुझे चिंतित होना चाहिए?","meri umra 19 sala hai aura maimne niyamita masika dharma nahim dekha hai, kya mujhe chimtita hona chahie?",,,
does having white blood cells in a stool sample mean cancer?,Other,क्या मल के नमूने में सफेद रक्त कोशिकाएं होने का मतलब कैंसर है?,क्या मल के नमूने में सफेद रक्त कोशिकाएं होने का मतलब कैंसर है?,kya mala ke namune mem sapheda rakta koshikaem hone ka matalaba cancer hai?,,,
what is staphylococcal infections,Disease,Staphylococcal संक्रमण क्या है,स्टेफिलोकोकल संक्रमण क्या है,staphylococcal samkramana kya hai,स्टेफिलोकोकल संक्रमण,,
astrologicalremedies is it possible to solve the problems? . astrology,Other,ज्योतिषीय स्मृतियों क्या समस्याओं का समाधान संभव है? | ज्योतिषशास्त्र,क्या ज्योतिषीय उपाय से समस्याओं का समाधान संभव है?,kya jyotishiya upaya se samasyaom ka samadhana sambhava hai?,,,
brownish vaginal discharge every two weeks in my 12 year old. is this normal?,Other,मेरे 12 साल के बच्चे में हर दो सप्ताह में भूरे रंग की योनि स्राव। क्या यह सामान्य है?,मेरी १२ साल की उम्र में हर दो हफ्ते में भूरा योनि स्राव। क्या यह सामान्य है?,meri 12 sala ki umra mem hara do haphte mem bhura yoni srava kya yaha samanya hai?,,,
when treated do thrush symptoms get worse before they get better?,Other,जब इलाज किया जाता है तो क्या थ्रश के लक्षण बेहतर होने से पहले खराब हो जाते हैं?,जब इलाज किया जाता है तो क्या थ्रश के लक्षण बेहतर होने से पहले खराब हो जाते हैं?,jaba ilaja kiya jata hai to kya thrasha ke lakshana behatara hone se pahale kharaba ho jate haim?,,,
